"Country"	"variable"	"value"	"Year"
"Chad"	"Estimated prevalence of obesity (% of all adults)"	6,7	"2014"
"Chile"	"Estimated prevalence of obesity (% of all adults)"	28,9	"2014"
"China"	"Estimated prevalence of obesity (% of all adults)"	7,8	"2014"
"Colombia"	"Estimated prevalence of obesity (% of all adults)"	20,3	"2014"
"Comoros"	"Estimated prevalence of obesity (% of all adults)"	6,5	"2014"
"Congo, Rep."	"Estimated prevalence of obesity (% of all adults)"	9,3	"2014"
"Costa Rica"	"Estimated prevalence of obesity (% of all adults)"	23,8	"2014"
"Cote d'Ivoire"	"Estimated prevalence of obesity (% of all adults)"	9	"2014"
"Croatia"	"Estimated prevalence of obesity (% of all adults)"	20,4	"2014"
"Cyprus"	"Estimated prevalence of obesity (% of all adults)"	23,5	"2014"
"Czech Republic"	"Estimated prevalence of obesity (% of all adults)"	23,8	"2014"
"Congo, Dem. Rep."	"Estimated prevalence of obesity (% of all adults)"	4,7	"2014"
"Denmark"	"Estimated prevalence of obesity (% of all adults)"	19	"2014"
"Djibouti"	"Estimated prevalence of obesity (% of all adults)"	9	"2014"
"Dominican Republic"	"Estimated prevalence of obesity (% of all adults)"	22,3	"2014"
"Ecuador"	"Estimated prevalence of obesity (% of all adults)"	19,1	"2014"
"Egypt, Arab Rep."	"Estimated prevalence of obesity (% of all adults)"	30,5	"2014"
"El Salvador"	"Estimated prevalence of obesity (% of all adults)"	21,8	"2014"
"Equatorial Guinea"	"Estimated prevalence of obesity (% of all adults)"	14,5	"2014"
"Estonia"	"Estimated prevalence of obesity (% of all adults)"	20,3	"2014"
"Ethiopia"	"Estimated prevalence of obesity (% of all adults)"	3,7	"2014"
"Fiji"	"Estimated prevalence of obesity (% of all adults)"	29,9	"2014"
"Finland"	"Estimated prevalence of obesity (% of all adults)"	20,6	"2014"
"France"	"Estimated prevalence of obesity (% of all adults)"	21,9	"2014"
"Gabon"	"Estimated prevalence of obesity (% of all adults)"	15,2	"2014"
"Gambia, The"	"Estimated prevalence of obesity (% of all adults)"	9,2	"2014"
"Georgia"	"Estimated prevalence of obesity (% of all adults)"	19,5	"2014"
"Germany"	"Estimated prevalence of obesity (% of all adults)"	21,1	"2014"
"Ghana"	"Estimated prevalence of obesity (% of all adults)"	12	"2014"
"Greece"	"Estimated prevalence of obesity (% of all adults)"	23,3	"2014"
"Grenada"	"Estimated prevalence of obesity (% of all adults)"	23,4	"2014"
"Guatemala"	"Estimated prevalence of obesity (% of all adults)"	19,2	"2014"
"Guinea"	"Estimated prevalence of obesity (% of all adults)"	6,3	"2014"
"Guinea-Bissau"	"Estimated prevalence of obesity (% of all adults)"	6,9	"2014"
"Guyana"	"Estimated prevalence of obesity (% of all adults)"	22,1	"2014"
"Haiti"	"Estimated prevalence of obesity (% of all adults)"	12,1	"2014"
"Honduras"	"Estimated prevalence of obesity (% of all adults)"	18,1	"2014"
"Hungary"	"Estimated prevalence of obesity (% of all adults)"	21,9	"2014"
"Iceland"	"Estimated prevalence of obesity (% of all adults)"	20,7	"2014"
"India"	"Estimated prevalence of obesity (% of all adults)"	3,7	"2014"
"Indonesia"	"Estimated prevalence of obesity (% of all adults)"	5,8	"2014"
"Iraq"	"Estimated prevalence of obesity (% of all adults)"	25,2	"2014"
"Ireland"	"Estimated prevalence of obesity (% of all adults)"	25,6	"2014"
"Israel"	"Estimated prevalence of obesity (% of all adults)"	25,3	"2014"
"Italy"	"Estimated prevalence of obesity (% of all adults)"	21,6	"2014"
"Jamaica"	"Estimated prevalence of obesity (% of all adults)"	24,2	"2014"
"Japan"	"Estimated prevalence of obesity (% of all adults)"	3,3	"2014"
"Jordan"	"Estimated prevalence of obesity (% of all adults)"	31,4	"2014"
"Kazakhstan"	"Estimated prevalence of obesity (% of all adults)"	22,7	"2014"
"Kenya"	"Estimated prevalence of obesity (% of all adults)"	7,1	"2014"
"Kiribati"	"Estimated prevalence of obesity (% of all adults)"	40,6	"2014"
"Kuwait"	"Estimated prevalence of obesity (% of all adults)"	36,8	"2014"
"Kyrgyz Republic"	"Estimated prevalence of obesity (% of all adults)"	14,1	"2014"
"Lao PDR"	"Estimated prevalence of obesity (% of all adults)"	3,4	"2014"
"Latvia"	"Estimated prevalence of obesity (% of all adults)"	23,1	"2014"
"Lebanon"	"Estimated prevalence of obesity (% of all adults)"	28,4	"2014"
"Lesotho"	"Estimated prevalence of obesity (% of all adults)"	15,3	"2014"
"Liberia"	"Estimated prevalence of obesity (% of all adults)"	7,2	"2014"
"Lithuania"	"Estimated prevalence of obesity (% of all adults)"	25,4	"2014"
"Luxembourg"	"Estimated prevalence of obesity (% of all adults)"	21,9	"2014"
"Macedonia, FYR"	"Estimated prevalence of obesity (% of all adults)"	18,1	"2014"
"Madagascar"	"Estimated prevalence of obesity (% of all adults)"	4,8	"2014"
"Malawi"	"Estimated prevalence of obesity (% of all adults)"	4,9	"2014"
"Malaysia"	"Estimated prevalence of obesity (% of all adults)"	13,7	"2014"
"Maldives"	"Estimated prevalence of obesity (% of all adults)"	8,2	"2014"
"Mali"	"Estimated prevalence of obesity (% of all adults)"	7,2	"2014"
"Malta"	"Estimated prevalence of obesity (% of all adults)"	27,4	"2014"
"Mauritius"	"Estimated prevalence of obesity (% of all adults)"	17,2	"2014"
"Mexico"	"Estimated prevalence of obesity (% of all adults)"	28,2	"2014"
"Micronesia, Fed. Sts."	"Estimated prevalence of obesity (% of all adults)"	42	"2014"
"Moldova"	"Estimated prevalence of obesity (% of all adults)"	15,8	"2014"
"Mongolia"	"Estimated prevalence of obesity (% of all adults)"	16,2	"2014"
"Montenegro"	"Estimated prevalence of obesity (% of all adults)"	19,3	"2014"
"Morocco"	"Estimated prevalence of obesity (% of all adults)"	21,3	"2014"
"Mozambique"	"Estimated prevalence of obesity (% of all adults)"	5	"2014"
"Namibia"	"Estimated prevalence of obesity (% of all adults)"	16,4	"2014"
"Nepal"	"Estimated prevalence of obesity (% of all adults)"	3,8	"2014"
"Netherlands"	"Estimated prevalence of obesity (% of all adults)"	18,6	"2014"
"New Zealand"	"Estimated prevalence of obesity (% of all adults)"	29,2	"2014"
"Nicaragua"	"Estimated prevalence of obesity (% of all adults)"	19,2	"2014"
"Niger"	"Estimated prevalence of obesity (% of all adults)"	4,4	"2014"
"Nigeria"	"Estimated prevalence of obesity (% of all adults)"	10,3	"2014"
"Norway"	"Estimated prevalence of obesity (% of all adults)"	23,2	"2014"
"Oman"	"Estimated prevalence of obesity (% of all adults)"	25,8	"2014"
"Pakistan"	"Estimated prevalence of obesity (% of all adults)"	6,1	"2014"
"Panama"	"Estimated prevalence of obesity (% of all adults)"	25,2	"2014"
"Paraguay"	"Estimated prevalence of obesity (% of all adults)"	18,4	"2014"
"Peru"	"Estimated prevalence of obesity (% of all adults)"	20,3	"2014"
"Philippines"	"Estimated prevalence of obesity (% of all adults)"	5,6	"2014"
"Poland"	"Estimated prevalence of obesity (% of all adults)"	23,2	"2014"
"Portugal"	"Estimated prevalence of obesity (% of all adults)"	19,7	"2014"
"Qatar"	"Estimated prevalence of obesity (% of all adults)"	36,4	"2014"
"Romania"	"Estimated prevalence of obesity (% of all adults)"	20,6	"2014"
"Russian Federation"	"Estimated prevalence of obesity (% of all adults)"	23,2	"2014"
"Rwanda"	"Estimated prevalence of obesity (% of all adults)"	4	"2014"
"St. Lucia"	"Estimated prevalence of obesity (% of all adults)"	23,9	"2014"
"St. Vincent and the Grenadines"	"Estimated prevalence of obesity (% of all adults)"	22,5	"2014"
"Samoa"	"Estimated prevalence of obesity (% of all adults)"	46,6	"2014"
"Sao Tome and Principe"	"Estimated prevalence of obesity (% of all adults)"	10,9	"2014"
"Saudi Arabia"	"Estimated prevalence of obesity (% of all adults)"	33,1	"2014"
"Senegal"	"Estimated prevalence of obesity (% of all adults)"	8,8	"2014"
"Serbia"	"Estimated prevalence of obesity (% of all adults)"	17,8	"2014"
"Seychelles"	"Estimated prevalence of obesity (% of all adults)"	22,1	"2014"
"Sierra Leone"	"Estimated prevalence of obesity (% of all adults)"	7,8	"2014"
"Singapore"	"Estimated prevalence of obesity (% of all adults)"	6,6	"2014"
"Slovakia"	"Estimated prevalence of obesity (% of all adults)"	21,2	"2014"
"Slovenia"	"Estimated prevalence of obesity (% of all adults)"	20,6	"2014"
"Solomon Islands"	"Estimated prevalence of obesity (% of all adults)"	17,9	"2014"
"South Africa"	"Estimated prevalence of obesity (% of all adults)"	26,9	"2014"
"South Korea"	"Estimated prevalence of obesity (% of all adults)"	5,3	"2014"
"Spain"	"Estimated prevalence of obesity (% of all adults)"	23,7	"2014"
"Sri Lanka"	"Estimated prevalence of obesity (% of all adults)"	6,3	"2014"
"Sudan"	"Estimated prevalence of obesity (% of all adults)"	8	"2014"
"Suriname"	"Estimated prevalence of obesity (% of all adults)"	25,5	"2014"
"Swaziland"	"Estimated prevalence of obesity (% of all adults)"	17,3	"2014"
"Sweden"	"Estimated prevalence of obesity (% of all adults)"	20	"2014"
"Switzerland"	"Estimated prevalence of obesity (% of all adults)"	19,4	"2014"
"Tajikistan"	"Estimated prevalence of obesity (% of all adults)"	12,4	"2014"
"Tanzania"	"Estimated prevalence of obesity (% of all adults)"	6,7	"2014"
"Thailand"	"Estimated prevalence of obesity (% of all adults)"	8,8	"2014"
"Timor-Leste"	"Estimated prevalence of obesity (% of all adults)"	2	"2014"
"Togo"	"Estimated prevalence of obesity (% of all adults)"	7,5	"2014"
"Tonga"	"Estimated prevalence of obesity (% of all adults)"	47,8	"2014"
"Trinidad and Tobago"	"Estimated prevalence of obesity (% of all adults)"	27,8	"2014"
"Tunisia"	"Estimated prevalence of obesity (% of all adults)"	24,3	"2014"
"Turkey"	"Estimated prevalence of obesity (% of all adults)"	29,4	"2014"
"Turkmenistan"	"Estimated prevalence of obesity (% of all adults)"	19,2	"2014"
"Uganda"	"Estimated prevalence of obesity (% of all adults)"	4,4	"2014"
"Ukraine"	"Estimated prevalence of obesity (% of all adults)"	20,1	"2014"
"United Arab Emirates"	"Estimated prevalence of obesity (% of all adults)"	30,9	"2014"
"United Kingdom"	"Estimated prevalence of obesity (% of all adults)"	27,3	"2014"
"United States"	"Estimated prevalence of obesity (% of all adults)"	34,2	"2014"
"Uruguay"	"Estimated prevalence of obesity (% of all adults)"	27,7	"2014"
"Uzbekistan"	"Estimated prevalence of obesity (% of all adults)"	15,7	"2014"
"Vanuatu"	"Estimated prevalence of obesity (% of all adults)"	23,1	"2014"
"Vietnam"	"Estimated prevalence of obesity (% of all adults)"	2,5	"2014"
"Yemen, Rep."	"Estimated prevalence of obesity (% of all adults)"	14,1	"2014"
"Zambia"	"Estimated prevalence of obesity (% of all adults)"	8,6	"2014"
"Zimbabwe"	"Estimated prevalence of obesity (% of all adults)"	13,4	"2014"
"Afghanistan"	"Estimated prevalence of obesity (% of all adults)"	4,4	"2025"
"Albania"	"Estimated prevalence of obesity (% of all adults)"	20,5	"2025"
"Algeria"	"Estimated prevalence of obesity (% of all adults)"	27,4	"2025"
"Angola"	"Estimated prevalence of obesity (% of all adults)"	11,2	"2025"
"Antigua and Barbuda"	"Estimated prevalence of obesity (% of all adults)"	34,8	"2025"
"Argentina"	"Estimated prevalence of obesity (% of all adults)"	33,6	"2025"
"Armenia"	"Estimated prevalence of obesity (% of all adults)"	23	"2025"
"Australia"	"Estimated prevalence of obesity (% of all adults)"	34	"2025"
"Austria"	"Estimated prevalence of obesity (% of all adults)"	23,7	"2025"
"Azerbaijan"	"Estimated prevalence of obesity (% of all adults)"	26,4	"2025"
"Bahamas, The"	"Estimated prevalence of obesity (% of all adults)"	36,3	"2025"
"Bahrain"	"Estimated prevalence of obesity (% of all adults)"	35,3	"2025"
"Bangladesh"	"Estimated prevalence of obesity (% of all adults)"	4,4	"2025"
"Barbados"	"Estimated prevalence of obesity (% of all adults)"	32,2	"2025"
"Belarus"	"Estimated prevalence of obesity (% of all adults)"	25,9	"2025"
"Belgium"	"Estimated prevalence of obesity (% of all adults)"	25,2	"2025"
"Belize"	"Estimated prevalence of obesity (% of all adults)"	27	"2025"
"Benin"	"Estimated prevalence of obesity (% of all adults)"	10,9	"2025"
"Bhutan"	"Estimated prevalence of obesity (% of all adults)"	8,5	"2025"
"Bolivia"	"Estimated prevalence of obesity (% of all adults)"	22,1	"2025"
"Bosnia and Herzegovina"	"Estimated prevalence of obesity (% of all adults)"	19,8	"2025"
"Botswana"	"Estimated prevalence of obesity (% of all adults)"	24,6	"2025"
"Brazil"	"Estimated prevalence of obesity (% of all adults)"	25,3	"2025"
"Brunei Darussalam"	"Estimated prevalence of obesity (% of all adults)"	21,3	"2025"
"Bulgaria"	"Estimated prevalence of obesity (% of all adults)"	23,8	"2025"
"Burkina Faso"	"Estimated prevalence of obesity (% of all adults)"	7,6	"2025"
"Burundi"	"Estimated prevalence of obesity (% of all adults)"	4,2	"2025"
"Cabo Verde"	"Estimated prevalence of obesity (% of all adults)"	17,3	"2025"
"Cambodia"	"Estimated prevalence of obesity (% of all adults)"	3,9	"2025"
"Cameroon"	"Estimated prevalence of obesity (% of all adults)"	13,4	"2025"
"Canada"	"Estimated prevalence of obesity (% of all adults)"	33,8	"2025"
"Central African Republic"	"Estimated prevalence of obesity (% of all adults)"	6	"2025"
"Chad"	"Estimated prevalence of obesity (% of all adults)"	9,1	"2025"
"Chile"	"Estimated prevalence of obesity (% of all adults)"	34,6	"2025"
"China"	"Estimated prevalence of obesity (% of all adults)"	10,9	"2025"
"Colombia"	"Estimated prevalence of obesity (% of all adults)"	24,5	"2025"
"Comoros"	"Estimated prevalence of obesity (% of all adults)"	8,4	"2025"
"Congo, Rep."	"Estimated prevalence of obesity (% of all adults)"	11,8	"2025"
"Costa Rica"	"Estimated prevalence of obesity (% of all adults)"	29,8	"2025"
"Cote d'Ivoire"	"Estimated prevalence of obesity (% of all adults)"	11,8	"2025"
"Croatia"	"Estimated prevalence of obesity (% of all adults)"	24,3	"2025"
"Cyprus"	"Estimated prevalence of obesity (% of all adults)"	28,5	"2025"
"Czech Republic"	"Estimated prevalence of obesity (% of all adults)"	26,1	"2025"
"Congo, Dem. Rep."	"Estimated prevalence of obesity (% of all adults)"	5,9	"2025"
"Denmark"	"Estimated prevalence of obesity (% of all adults)"	22,6	"2025"
"Djibouti"	"Estimated prevalence of obesity (% of all adults)"	11,1	"2025"
"Dominican Republic"	"Estimated prevalence of obesity (% of all adults)"	28,8	"2025"
"Ecuador"	"Estimated prevalence of obesity (% of all adults)"	23,4	"2025"
"Egypt, Arab Rep."	"Estimated prevalence of obesity (% of all adults)"	36,8	"2025"
"El Salvador"	"Estimated prevalence of obesity (% of all adults)"	26,5	"2025"
"Equatorial Guinea"	"Estimated prevalence of obesity (% of all adults)"	21,6	"2025"
"Estonia"	"Estimated prevalence of obesity (% of all adults)"	23,1	"2025"
"Ethiopia"	"Estimated prevalence of obesity (% of all adults)"	4,9	"2025"
"Fiji"	"Estimated prevalence of obesity (% of all adults)"	35,1	"2025"
"Finland"	"Estimated prevalence of obesity (% of all adults)"	24,9	"2025"
"France"	"Estimated prevalence of obesity (% of all adults)"	26,2	"2025"
"Gabon"	"Estimated prevalence of obesity (% of all adults)"	19,3	"2025"
"Gambia, The"	"Estimated prevalence of obesity (% of all adults)"	12,1	"2025"
"Georgia"	"Estimated prevalence of obesity (% of all adults)"	23,4	"2025"
"Germany"	"Estimated prevalence of obesity (% of all adults)"	25,3	"2025"
"Ghana"	"Estimated prevalence of obesity (% of all adults)"	15,8	"2025"
"Greece"	"Estimated prevalence of obesity (% of all adults)"	27,7	"2025"
"Grenada"	"Estimated prevalence of obesity (% of all adults)"	29,5	"2025"
"Guatemala"	"Estimated prevalence of obesity (% of all adults)"	23,6	"2025"
"Guinea"	"Estimated prevalence of obesity (% of all adults)"	8,3	"2025"
"Guinea-Bissau"	"Estimated prevalence of obesity (% of all adults)"	8,9	"2025"
"Guyana"	"Estimated prevalence of obesity (% of all adults)"	28,5	"2025"
"Haiti"	"Estimated prevalence of obesity (% of all adults)"	15,4	"2025"
"Honduras"	"Estimated prevalence of obesity (% of all adults)"	22,9	"2025"
"Hungary"	"Estimated prevalence of obesity (% of all adults)"	24,6	"2025"
"Iceland"	"Estimated prevalence of obesity (% of all adults)"	24,5	"2025"
"India"	"Estimated prevalence of obesity (% of all adults)"	5	"2025"
"Indonesia"	"Estimated prevalence of obesity (% of all adults)"	7,9	"2025"
"Iraq"	"Estimated prevalence of obesity (% of all adults)"	29,9	"2025"
"Ireland"	"Estimated prevalence of obesity (% of all adults)"	32,9	"2025"
"Israel"	"Estimated prevalence of obesity (% of all adults)"	28,9	"2025"
"Italy"	"Estimated prevalence of obesity (% of all adults)"	25,8	"2025"
"Jamaica"	"Estimated prevalence of obesity (% of all adults)"	29,8	"2025"
"Japan"	"Estimated prevalence of obesity (% of all adults)"	4,1	"2025"
"Jordan"	"Estimated prevalence of obesity (% of all adults)"	37,2	"2025"
"Kazakhstan"	"Estimated prevalence of obesity (% of all adults)"	27,4	"2025"
"Kenya"	"Estimated prevalence of obesity (% of all adults)"	9,4	"2025"
"Kiribati"	"Estimated prevalence of obesity (% of all adults)"	46,4	"2025"
"Kuwait"	"Estimated prevalence of obesity (% of all adults)"	42,8	"2025"
"Kyrgyz Republic"	"Estimated prevalence of obesity (% of all adults)"	17	"2025"
"Lao PDR"	"Estimated prevalence of obesity (% of all adults)"	4,7	"2025"
"Latvia"	"Estimated prevalence of obesity (% of all adults)"	26,1	"2025"
"Lebanon"	"Estimated prevalence of obesity (% of all adults)"	33,7	"2025"
"Lesotho"	"Estimated prevalence of obesity (% of all adults)"	19,5	"2025"
"Liberia"	"Estimated prevalence of obesity (% of all adults)"	9,5	"2025"
"Lithuania"	"Estimated prevalence of obesity (% of all adults)"	28,9	"2025"
"Luxembourg"	"Estimated prevalence of obesity (% of all adults)"	26,7	"2025"
"Macedonia, FYR"	"Estimated prevalence of obesity (% of all adults)"	20,2	"2025"
"Madagascar"	"Estimated prevalence of obesity (% of all adults)"	6,4	"2025"
"Malawi"	"Estimated prevalence of obesity (% of all adults)"	6,5	"2025"
"Malaysia"	"Estimated prevalence of obesity (% of all adults)"	18,5	"2025"
"Maldives"	"Estimated prevalence of obesity (% of all adults)"	11,3	"2025"
"Mali"	"Estimated prevalence of obesity (% of all adults)"	9,6	"2025"
"Malta"	"Estimated prevalence of obesity (% of all adults)"	32,4	"2025"
"Mauritius"	"Estimated prevalence of obesity (% of all adults)"	13	"2025"
"Mexico"	"Estimated prevalence of obesity (% of all adults)"	33,9	"2025"
"Micronesia, Fed. Sts."	"Estimated prevalence of obesity (% of all adults)"	48,1	"2025"
"Moldova"	"Estimated prevalence of obesity (% of all adults)"	17,6	"2025"
"Mongolia"	"Estimated prevalence of obesity (% of all adults)"	19,8	"2025"
"Montenegro"	"Estimated prevalence of obesity (% of all adults)"	22,1	"2025"
"Morocco"	"Estimated prevalence of obesity (% of all adults)"	25,8	"2025"
"Mozambique"	"Estimated prevalence of obesity (% of all adults)"	6,5	"2025"
"Namibia"	"Estimated prevalence of obesity (% of all adults)"	20,5	"2025"
"Nepal"	"Estimated prevalence of obesity (% of all adults)"	5	"2025"
"Netherlands"	"Estimated prevalence of obesity (% of all adults)"	23,1	"2025"
"New Zealand"	"Estimated prevalence of obesity (% of all adults)"	36,1	"2025"
"Nicaragua"	"Estimated prevalence of obesity (% of all adults)"	23,6	"2025"
"Niger"	"Estimated prevalence of obesity (% of all adults)"	5,8	"2025"
"Nigeria"	"Estimated prevalence of obesity (% of all adults)"	14	"2025"
"Norway"	"Estimated prevalence of obesity (% of all adults)"	28,4	"2025"
"Oman"	"Estimated prevalence of obesity (% of all adults)"	33,7	"2025"
"Pakistan"	"Estimated prevalence of obesity (% of all adults)"	8	"2025"
"Panama"	"Estimated prevalence of obesity (% of all adults)"	31,4	"2025"
"Paraguay"	"Estimated prevalence of obesity (% of all adults)"	23,2	"2025"
"Peru"	"Estimated prevalence of obesity (% of all adults)"	24,8	"2025"
"Philippines"	"Estimated prevalence of obesity (% of all adults)"	7,3	"2025"
"Poland"	"Estimated prevalence of obesity (% of all adults)"	26,8	"2025"
"Portugal"	"Estimated prevalence of obesity (% of all adults)"	24,5	"2025"
"Qatar"	"Estimated prevalence of obesity (% of all adults)"	45,6	"2025"
"Romania"	"Estimated prevalence of obesity (% of all adults)"	23,7	"2025"
"Russian Federation"	"Estimated prevalence of obesity (% of all adults)"	25,7	"2025"
"Rwanda"	"Estimated prevalence of obesity (% of all adults)"	5,2	"2025"
"St. Lucia"	"Estimated prevalence of obesity (% of all adults)"	30,2	"2025"
"St. Vincent and the Grenadines"	"Estimated prevalence of obesity (% of all adults)"	28,6	"2025"
"Samoa"	"Estimated prevalence of obesity (% of all adults)"	54,5	"2025"
"Sao Tome and Principe"	"Estimated prevalence of obesity (% of all adults)"	14	"2025"
"Saudi Arabia"	"Estimated prevalence of obesity (% of all adults)"	39,8	"2025"
"Senegal"	"Estimated prevalence of obesity (% of all adults)"	11,2	"2025"
"Serbia"	"Estimated prevalence of obesity (% of all adults)"	20,2	"2025"
"Seychelles"	"Estimated prevalence of obesity (% of all adults)"	28,6	"2025"
"Sierra Leone"	"Estimated prevalence of obesity (% of all adults)"	10,1	"2025"
"Singapore"	"Estimated prevalence of obesity (% of all adults)"	8	"2025"
"Slovakia"	"Estimated prevalence of obesity (% of all adults)"	24,8	"2025"
"Slovenia"	"Estimated prevalence of obesity (% of all adults)"	24	"2025"
"Solomon Islands"	"Estimated prevalence of obesity (% of all adults)"	21,2	"2025"
"South Africa"	"Estimated prevalence of obesity (% of all adults)"	31,9	"2025"
"South Korea"	"Estimated prevalence of obesity (% of all adults)"	6,8	"2025"
"Spain"	"Estimated prevalence of obesity (% of all adults)"	28,4	"2025"
"Sri Lanka"	"Estimated prevalence of obesity (% of all adults)"	8,5	"2025"
"Sudan"	"Estimated prevalence of obesity (% of all adults)"	10,6	"2025"
"Suriname"	"Estimated prevalence of obesity (% of all adults)"	30,6	"2025"
"Swaziland"	"Estimated prevalence of obesity (% of all adults)"	21,6	"2025"
"Sweden"	"Estimated prevalence of obesity (% of all adults)"	24,3	"2025"
"Switzerland"	"Estimated prevalence of obesity (% of all adults)"	23	"2025"
"Tajikistan"	"Estimated prevalence of obesity (% of all adults)"	14,7	"2025"
"Tanzania"	"Estimated prevalence of obesity (% of all adults)"	9	"2025"
"Thailand"	"Estimated prevalence of obesity (% of all adults)"	11,8	"2025"
"Timor-Leste"	"Estimated prevalence of obesity (% of all adults)"	2,6	"2025"
"Togo"	"Estimated prevalence of obesity (% of all adults)"	9,8	"2025"
"Tonga"	"Estimated prevalence of obesity (% of all adults)"	54,2	"2025"
"Trinidad and Tobago"	"Estimated prevalence of obesity (% of all adults)"	35,9	"2025"
"Tunisia"	"Estimated prevalence of obesity (% of all adults)"	29,3	"2025"
"Turkey"	"Estimated prevalence of obesity (% of all adults)"	35,1	"2025"
"Turkmenistan"	"Estimated prevalence of obesity (% of all adults)"	23,4	"2025"
"Uganda"	"Estimated prevalence of obesity (% of all adults)"	6	"2025"
"Ukraine"	"Estimated prevalence of obesity (% of all adults)"	21,7	"2025"
"United Arab Emirates"	"Estimated prevalence of obesity (% of all adults)"	39,1	"2025"
"United Kingdom"	"Estimated prevalence of obesity (% of all adults)"	33,9	"2025"
"United States"	"Estimated prevalence of obesity (% of all adults)"	41,4	"2025"
"Uruguay"	"Estimated prevalence of obesity (% of all adults)"	32,7	"2025"
"Uzbekistan"	"Estimated prevalence of obesity (% of all adults)"	19,1	"2025"
"Vanuatu"	"Estimated prevalence of obesity (% of all adults)"	27,7	"2025"
"Vietnam"	"Estimated prevalence of obesity (% of all adults)"	3,4	"2025"
"Yemen, Rep."	"Estimated prevalence of obesity (% of all adults)"	17,6	"2025"
"Zambia"	"Estimated prevalence of obesity (% of all adults)"	11	"2025"
"Zimbabwe"	"Estimated prevalence of obesity (% of all adults)"	15,9	"2025"
"Afghanistan"	"Number of adults (thousands) with obesity BMI 30+"	459,442	"2014"
"Albania"	"Number of adults (thousands) with obesity BMI 30+"	347,542	"2014"
"Algeria"	"Number of adults (thousands) with obesity BMI 30+"	5637,089	"2014"
"Angola"	"Number of adults (thousands) with obesity BMI 30+"	853,923	"2014"
"Antigua and Barbuda"	"Number of adults (thousands) with obesity BMI 30+"	16,733	"2014"
"Argentina"	"Number of adults (thousands) with obesity BMI 30+"	8143,212	"2014"
"Armenia"	"Number of adults (thousands) with obesity BMI 30+"	426,002	"2014"
"Australia"	"Number of adults (thousands) with obesity BMI 30+"	4903,084	"2014"
"Austria"	"Number of adults (thousands) with obesity BMI 30+"	1322,22	"2014"
"Azerbaijan"	"Number of adults (thousands) with obesity BMI 30+"	1465,434	"2014"
"Bahamas, The"	"Number of adults (thousands) with obesity BMI 30+"	83,93	"2014"
"Bahrain"	"Number of adults (thousands) with obesity BMI 30+"	284,465	"2014"
"Bangladesh"	"Number of adults (thousands) with obesity BMI 30+"	3143,298	"2014"
"Barbados"	"Number of adults (thousands) with obesity BMI 30+"	55,062	"2014"
"Belarus"	"Number of adults (thousands) with obesity BMI 30+"	1673,871	"2014"
"Belgium"	"Number of adults (thousands) with obesity BMI 30+"	1860,74	"2014"
